Participant,Stimulus_Name,Valence,Arousal,IBI RMSSD,IBI SDNN
group33_v5_14,G_HP,0.146638,0.462006,32.4813219,22.48821616
group33_v5_14,H_HP,0.165943,0.518621,0,0
group33_v5_14,J_Ne,0.057472,-0.421864,31.41233875,19.35686035
group33_v5_14,K_Ne,0.041124,-0.483079,7.8125,0
group33_v5_14,M_LN,-0.169344,-0.267639,0,0
group33_v5_14,N_LN,-0.196207,-0.184387,93.75,0
group33_v5_14,O_LN,-0.143943,-0.417561,112.9890268,68.51730269
group33_v5_14,P_HP,0.145751,0.509977,55.05826696,6.378879538
group33_v5_14,Q_HP,0.173074,0.504745,0,0
group33_v5_14,U_Ne,0.09209,-0.366363,0,0
group33_v5_14,V_Ne,0.062927,-0.392778,349.1234839,226.5625
group33_v5_14,W_HN,-0.23743,0.139793,66.75002926,23.4375
group33_v5_3,A1_LP,0.443891,-0.008929,44.25690512,23.27552501
group33_v5_3,A2_LP,0.530101,-0.002811,31.73452502,21.3954124
group33_v5_3,A3_LP,0.377616,0.011392,31.80314029,17.14541462
group33_v5_3,A4_LP,0.536135,-0.003099,25.57240901,17.14541462
group33_v5_3,A_HN,-0.728491,0.005062,19.29545162,10.15625
group33_v5_3,B_HN,-0.831306,0.009343,37.30417621,24.50685491
group33_v5_3,C_LN,-0.373031,-0.013694,40.64502711,19.94186429
group33_v5_3,F_HN,-0.360673,0.015412,29.11546846,19.4103123
group33_v5_3,G_HP,0.43081,0.014695,34.49906588,26.4614602
group33_v5_3,H_HP,0.487527,0.016495,40.67004714,25.06096083
group33_v5_3,J_Ne,0.168848,-0.013418,39.0625,26.0373619
group33_v5_3,K_Ne,0.12082,-0.015365,34.6461841,19.48779889
group33_v5_3,M_LN,-0.497519,-0.008513,39.94537984,28.58537606
group33_v5_3,N_LN,-0.57644,-0.005865,44.19417382,32.40737683
group33_v5_3,O_LN,-0.422893,-0.013281,39.75087896,24.5676592
group33_v5_3,P_HP,0.428203,0.01622,43.49815908,27.88942318
