Participant,Stimulus_Name,Valence,Arousal,ibi mean normalize,ibi min normalize,ibi max normalize,ibi skew normalize,ibi kurtosis normalize,ibi std normalize
group33_v5_12,H_HP,0.192405,0.382745,0.01500919,-0.0581589,0.08958086,-0.0211162,-0.3047807,0.0302894
group33_v5_12,J_Ne,0.066637,-0.311338,-0.0386585,-0.2705349,0.2557881,0.44850861,-0.2889247,0.10255183
group33_v5_12,K_Ne,0.047682,-0.356515,0.0728743,-0.1781975,0.24617748,-0.6000503,0.18988347,0.08354169
group33_v5_12,M_LN,-0.196348,-0.197519,0.01151864,-0.1689638,0.19115195,0.11184668,-0.9123414,0.09325798
group33_v5_12,N_LN,-0.227495,-0.136079,0.003154,-0.2058987,0.17268448,-1.0789657,0.65837553,0.07812147
group33_v5_12,O_LN,-0.166897,-0.308162,0.06416397,-0.0304577,0.24655437,0.93485674,1.2758959,0.04565953
group33_v5_12,P_HP,0.168993,0.376365,0.09964523,-0.0581589,0.2557881,-0.0871633,-0.7961685,0.07300988
group33_v5_12,Q_HP,0.200673,0.372505,0.013055,-0.0858601,0.21885316,0.68740283,-0.3099027,0.0733492
group33_v5_12,U_Ne,0.106775,-0.270377,0.02505863,-0.1689638,0.2557881,-0.174842,-0.2095939,0.09027036
group33_v5_12,V_Ne,0.072961,-0.289872,-0.1040103,-0.2428336,0.10804833,0.22693522,0.07376958,0.06822136
group33_v5_12,W_HN,-0.275292,0.103168,0.04884951,-0.2335999,0.19115195,-1.4561242,2.28063123,0.08420238
group33_v5_13,A1_LP,0.181805,-0.229734,-0.0482387,-0.2374307,0.31184373,0.67951636,-0.8650876,0.15372059
group33_v5_13,A2_LP,0.217114,-0.072318,-0.0349179,-0.2739481,0.3365955,0.43508649,-1.1203166,0.18689475
group33_v5_13,A3_LP,0.154661,0.293095,-0.0188799,-0.2326952,0.34484609,0.59999614,1.90575129,0.10289784
group33_v5_13,A4_LP,0.219585,-0.079725,-0.0542867,-0.2244446,0.1798343,-0.0071335,-0.9012221,0.09809131
group33_v5_13,A_HN,-0.298369,0.130244,-0.0474725,-0.1584399,0.17158371,0.9166277,0.04876427,0.08040831
group33_v5_13,B_HN,-0.340479,0.24039,0.01034351,-0.1914422,0.19633548,-0.1021031,-0.7551665,0.09494031
group33_v5_13,C_LN,-0.152783,-0.352328,-0.0570927,-0.2244446,0.23758843,0.85143356,1.3022454,0.07821561
group33_v5_13,F_HN,-0.147721,0.396532,-0.0041242,-0.1996928,0.27884137,0.20452221,-1.0683516,0.13255017
group33_v5_13,G_HP,0.176447,0.378073,0.05291022,-0.2076539,0.27059078,-0.4228717,-0.3800389,0.1089559
group33_v5_13,H_HP,0.199677,0.424402,-0.0590777,-0.2491964,0.22108725,0.40683625,-0.4801547,0.10455444
group33_v5_13,J_Ne,0.069155,-0.345224,-0.0203661,-0.216194,0.22108725,0.38324736,-0.3221166,0.09814512
group33_v5_13,K_Ne,0.049484,-0.395318,0.00868702,-0.1501893,0.16333312,0.36585884,-0.6391279,0.07262529
group33_v5_13,M_LN,-0.203769,-0.219017,-0.0435277,-0.2326952,0.27884137,0.44987857,-0.7560383,0.1318243
group33_v5_13,N_LN,-0.236093,-0.150889,-0.0264226,-0.1666905,0.16333312,0.29081072,-0.7229941,0.07426398
group33_v5_13,O_LN,-0.173205,-0.341702,-0.0016168,-0.1501893,0.29534255,0.93122751,0.13820907,0.09657315
group33_v5_13,P_HP,0.17538,0.417329,0.08970619,-0.1312387,0.26234019,-0.7140457,-0.1840659,0.09153939
group33_v5_13,Q_HP,0.208257,0.413048,-0.0680796,-0.1996928,0.13033076,0.53380767,-0.1322221,0.07355417
group33_v5_13,U_Ne,0.110811,-0.299805,-0.1405254,-0.2656975,0.10557899,1.04711258,0.77655458,0.07325988
group33_v5_13,V_Ne,0.075719,-0.321421,-0.0313841,-0.2409458,0.22108725,0.04448644,-1.0238487,0.12040632
group33_v5_13,W_HN,-0.285696,0.114396,-0.0474946,-0.1996928,0.15508253,0.27885468,-0.2658111,0.06710807
group33_v5_14,A1_LP,0.15109,-0.280736,-0.5632444,-0.6224367,-0.4733986,0.58546543,-1.5954023,0.05159804
group33_v5_14,A2_LP,0.180434,-0.088372,-0.546487,-0.6224367,-0.5330138,-2.3188972,4.96216123,0.01789229
group33_v5_14,A3_LP,0.128532,0.358163,-0.6222334,-0.6423085,-0.5727573,0.69162901,-0.3150632,0.01806937
group33_v5_14,A4_LP,0.182488,-0.097425,-0.6209954,-0.6423085,-0.5926291,0.38465681,-1.1629253,0.01448064
group33_v5_14,A_HN,-0.247962,0.159159,-0.0158437,-0.1941332,0.13881612,-0.0627126,-0.8888251,0.08942976
group33_v5_14,B_HN,-0.282957,0.293758,-0.5763495,-0.6323726,-0.4535268,1.10080221,0.02871203,0.04777166
group33_v5_14,C_LN,-0.126971,-0.430546,-0.3650844,-0.6323726,0.10288223,0.60900671,-1.489358,0.29047229
group33_v5_14,F_HN,-0.122765,0.484563,-0.5969516,-0.6423085,-0.5330138,0.15398281,-1.1560609,0.02762909
group33_v5_14,G_HP,0.146638,0.462006,0.04270225,-0.0665476,0.12275398,-0.0095057,-0.8380704,0.03960465
group33_v5_14,H_HP,0.165943,0.518621,-0.5265617,-0.6125008,-0.3254644,1.5519304,2.65533519,0.04678991
group33_v5_14,J_Ne,0.057472,-0.421864,0.03911994,-0.0759635,0.14262573,0.03508355,-0.032896,0.03946971
group33_v5_14,K_Ne,0.041124,-0.483079,-0.2103732,-0.5826932,0.0333311,-0.3844773,-1.0837947,0.1772017
group33_v5_14,M_LN,-0.169344,-0.267639,-0.5661182,-0.6230577,-0.5032062,-0.3606302,-0.3794599,0.02659176
group33_v5_14,N_LN,-0.196207,-0.184387,-0.008313,-0.1589776,0.19230511,-0.3768819,-0.6602426,0.07275366
group33_v5_14,O_LN,-0.143943,-0.417561,-0.5507329,-0.6423085,-0.3740398,0.95227131,-0.6569565,0.08933255
group33_v5_14,P_HP,0.145751,0.509977,0.05309396,-0.0793123,0.21217687,0.00506884,-1.1673033,0.07551757
group33_v5_14,Q_HP,0.173074,0.504745,-0.5724974,-0.6070675,-0.4833345,1.48405696,2.48791147,0.02444832
group33_v5_14,U_Ne,0.09209,-0.366363,-0.5253399,-0.6323726,-0.369039,0.29329785,-1.6159834,0.09698286
group33_v5_14,V_Ne,0.062927,-0.392778,-0.4866636,-0.6409757,0.00352347,1.02522105,-0.7894783,0.2234695
group33_v5_14,W_HN,-0.23743,0.139793,-0.6006228,-0.6423085,-0.5131421,0.97877136,-0.2536006,0.03365644
group33_v5_3,A1_LP,0.443891,-0.008929,-0.0557453,-0.1617472,0.04294243,-0.202934,-0.5588275,0.04610431
group33_v5_3,A2_LP,0.530101,-0.002811,-0.0474724,-0.2104828,0.02344818,-1.1547586,0.45498132,0.05733852
group33_v5_3,A3_LP,0.377616,0.011392,-0.0005899,-0.185943,0.07218381,-0.7832027,1.48682657,0.04301311
group33_v5_3,A4_LP,0.536135,-0.003099,-0.0548157,-0.1948999,0.0331953,-0.2079377,-0.2571462,0.04206979
group33_v5_3,A_HN,-0.728491,0.005062,-0.0925687,-0.1812415,-0.0057932,0.1130349,-0.8666007,0.04284171
group33_v5_3,B_HN,-0.831306,0.009343,-0.1052387,-0.1909886,0.08193093,1.43079587,1.21750957,0.06017701
group33_v5_3,C_LN,-0.373031,-0.013694,-0.118744,-0.2299771,-0.0057932,-0.022713,-0.0792932,0.04248717
group33_v5_3,F_HN,-0.360673,0.015412,-0.1068342,-0.1812415,-0.0252874,-0.1652569,-0.5393573,0.03524881
group33_v5_3,G_HP,0.43081,0.014695,-0.0304147,-0.1325058,0.0331953,-0.897473,-0.0931589,0.04061003
group33_v5_3,H_HP,0.487527,0.016495,-0.1034623,-0.2592185,0.00395393,-0.3765253,-0.1840457,0.06132295
group33_v5_3,J_Ne,0.168848,-0.013418,-0.090949,-0.22023,0.05268955,0.08997266,-0.4191641,0.05913105
group33_v5_3,K_Ne,0.12082,-0.015365,-0.1276542,-0.2494713,-0.0545288,-0.5138149,-1.0151155,0.0544155
group33_v5_3,M_LN,-0.497519,-0.008513,-0.0463017,-0.2494713,0.05268955,-1.5433591,1.64424626,0.06970812
group33_v5_3,N_LN,-0.57644,-0.005865,-0.1688959,-0.2592185,-0.0155403,0.49170586,0.63872793,0.04652269
group33_v5_3,O_LN,-0.422893,-0.013281,-0.0615348,-0.2299771,0.07218381,-0.4251478,-0.7709632,0.07420979
group33_v5_3,P_HP,0.428203,0.01622,-0.1174718,-0.2689656,-0.0350346,-0.4362326,-0.0717719,0.04586862
group33_v5_3,Q_HP,0.508476,0.016054,-0.062583,-0.1325058,-0.0057932,-0.1324631,-0.8442218,0.03007774
group33_v5_3,U_Ne,0.270553,-0.011652,-0.1198795,-0.1812415,-0.0350346,0.48859048,-0.3936672,0.03385297
group33_v5_3,V_Ne,0.184874,-0.012493,-0.0764118,-0.1520001,-0.0155403,-0.2148108,-0.5806824,0.03178697
group33_v5_3,W_HN,-0.69755,0.004446,-0.109352,-0.2397242,-0.0545288,-1.5386439,1.85558619,0.04072254
group33_v5_4,A1_LP,0.216106,-0.214297,-0.0635654,-0.2235295,0.05078217,-0.2684893,-1.0584107,0.06829132
group33_v5_4,A2_LP,0.258077,-0.067458,0.02078606,-0.1312428,0.21631635,0.19305615,-0.5041578,0.07247634
group33_v5_4,A3_LP,0.18384,0.273401,-0.0788953,-0.2227091,0.04358503,-0.2113114,-0.8279028,0.06352072
group33_v5_4,A4_LP,0.261014,-0.074368,-0.0533158,-0.2773231,0.27389345,0.36106614,-0.472266,0.13160931
group33_v5_4,A_HN,-0.354662,0.121493,-0.0110221,-0.1795263,0.20192207,-0.4725398,-0.1456582,0.08253805
group33_v5_4,B_HN,-0.404717,0.224238,-0.0950609,-0.273089,0.10835927,0.16153876,-1.3031957,0.10772134
group33_v5_4,C_LN,-0.181608,-0.328654,-0.0797462,-0.2874833,0.20192207,0.29802349,-0.6271326,0.10739771
group33_v5_4,F_HN,-0.175592,0.369888,-0.0564959,-0.2083148,0.093965,-0.0984312,-0.4719017,0.07166858
group33_v5_4,G_HP,0.209737,0.352669,-0.0752604,-0.266596,0.093965,-0.3418452,-1.0092318,0.09172717
group33_v5_4,H_HP,0.23735,0.395885,-0.0886601,-0.2514976,0.08676786,-0.1501976,-0.8232828,0.0798111
group33_v5_4,J_Ne,0.082203,-0.322027,-0.1372409,-0.2299062,-0.0427806,0.09799393,-0.926617,0.04331949
group33_v5_4,K_Ne,0.058821,-0.368755,-0.1449914,-0.2658919,0.0004022,-0.0794054,-1.4594382,0.08140983
group33_v5_4,M_LN,-0.242214,-0.2043,-0.0337038,-0.3306662,0.25230204,-0.2262278,-0.9313725,0.15228041
group33_v5_4,N_LN,-0.280637,-0.14075,0.02514804,-0.165132,0.16593638,-1.0957384,1.52881623,0.06114013
group33_v5_4,O_LN,-0.205883,-0.318742,-0.0483398,-0.2658919,0.18033066,-0.3202687,-0.1258485,0.08632974
group33_v5_4,P_HP,0.208469,0.389287,-0.0719885,-0.2227091,0.08676786,0.10112275,-0.2377333,0.06939757
group33_v5_4,Q_HP,0.247549,0.385294,-0.1425523,-0.3378633,0.13714783,0.41686324,-0.6625143,0.12968422
group33_v5_4,U_Ne,0.131717,-0.27966,-0.1573169,-0.2658919,0.00759934,0.28819428,0.36774599,0.05902577
group33_v5_4,V_Ne,0.090005,-0.299824,-0.107298,-0.2371034,0.06517645,0.3327185,-0.1463765,0.06421246
group33_v5_4,W_HN,-0.339598,0.10671,-0.0566243,-0.3018776,0.21631635,0.2456838,0.24713452,0.1034336
group33_v5_5,A1_LP,0.469732,-0.124326,-0.0602162,-0.5447423,0.14369625,-1.6404625,1.57490344,0.15879751
group33_v5_5,A2_LP,0.560961,-0.039136,-0.0461123,-0.1672115,0.08817702,0.39235655,0.19249934,0.05338747
group33_v5_5,A3_LP,0.399599,0.158615,-0.029443,-0.1005884,0.08817702,0.6185701,-0.3936759,0.04333932
group33_v5_5,A4_LP,0.567346,-0.043145,0.0124312,-0.1450038,0.1548001,-0.1974354,-0.3603892,0.06814015
group33_v5_5,A_HN,-0.770899,0.070485,0.02137094,-0.0894845,0.09928086,-0.3148,-0.5917277,0.03854899
group33_v5_5,B_HN,-0.8797,0.130093,0.02185305,-0.1005884,0.11038471,-0.5348469,-0.4845134,0.04561241
group33_v5_5,C_LN,-0.394746,-0.19067,-0.018756,-0.1672115,0.08817702,-0.3787719,-0.1646177,0.05038689
group33_v5_5,F_HN,-0.38167,0.214592,-0.0232263,-0.5558461,0.1548001,-2.2264145,6.07767917,0.11940561
group33_v5_5,G_HP,0.455889,0.204603,0.05520858,-0.0450691,0.21971002,1.01823411,0.6295025,0.05372893
group33_v5_5,H_HP,0.515908,0.229675,-0.0079515,-0.1450038,0.11038471,-0.5348559,-0.2717065,0.05866834
group33_v5_5,J_Ne,0.178678,-0.186826,-0.0307083,-0.1450038,0.08817702,-0.5468906,-1.0662687,0.06502373
group33_v5_5,K_Ne,0.127853,-0.213935,-0.0069173,-0.0672768,0.08817702,0.28725264,-0.7207135,0.03723615
group33_v5_5,M_LN,-0.526482,-0.118526,-0.0026292,-0.1783153,0.22142318,0.17582542,-0.0664771,0.08015892
group33_v5_5,N_LN,-0.609997,-0.081657,-0.0548795,-0.5558461,0.09928086,-2.7583666,7.38980354,0.11544332
group33_v5_5,O_LN,-0.447512,-0.18492,0.01808914,-0.0783807,0.1548001,0.29604539,-0.4930939,0.04660583
group33_v5_5,P_HP,0.453131,0.225847,0.00813798,-0.1116922,0.11038471,-0.1281646,-0.7756475,0.05420427
group33_v5_5,Q_HP,0.538077,0.22353,0.0467241,-0.056173,0.17700779,-0.0224163,-0.9246272,0.05581067
group33_v5_5,U_Ne,0.286303,-0.162246,-0.0459684,-0.1450038,0.07707317,0.2444451,-0.0447993,0.04774493
group33_v5_5,V_Ne,0.195636,-0.173944,-0.0192531,-0.0783807,0.06596932,0.41948606,-0.5075237,0.03247671
group33_v5_5,W_HN,-0.738157,0.061908,-0.0413626,-0.1338999,0.07707317,0.17736478,-0.8802807,0.0523954
group33_v5_6,A1_LP,0.034025,-0.19084,-0.0363189,-0.1011969,0.03887634,0.40213564,0.53164486,0.02384284
group33_v5_6,A2_LP,0.040633,-0.060074,-0.005434,-0.0895241,0.12058572,0.51203747,-0.7446296,0.05022703
